record_id,student_id,student_name,level,department,course_code,course_name,semester_days,attendance_percent_norm,ca_score_norm,participation_score_0_5,lms_logins,risk_score,predicted_success_rate,risk_level,risk_numeric,recommended_action
REC00001,STU01068,Rita A.,Year 1,Computer Science,PHY102,General Physics II,98,0.6501,0.6565,4.4,36,0.267,0.733,Low,0,No immediate action
REC00002,STU02097,Dara I.,Year 1,Computer Science,MTH102,Elementary Mathematics II,98,0.6451,0.4425,2.0,24,0.5557,0.4443,Medium,1,Monitor and recommend targeted support
REC00003,STU02133,Lara F.,Year 1,Computer Science,MTH102,Elementary Mathematics II,98,0.8215,0.6151,3.8,27,0.2522,0.7478,Low,0,No immediate action
REC00004,STU00922,Nora B.,Year 1,Computer Science,PHY108,General Practical Physics II,98,0.3956,0.4933,2.3,20,0.6605,0.3395,High,2,Advisor review and peer tutorial recommendation
REC00005,STU01483,Nora G.,Year 1,Computer Science,PHY102,General Physics II,98,0.3641,0.3927,2.4,28,0.7748,0.2252,High,2,Advisor review and peer tutorial recommendation
REC00006,STU01197,Lekan J.,Year 1,Computer Science,MTH102,Elementary Mathematics II,98,0.4188,0.2031,0,19,0.9734,0.0266,High,2,Advisor review and peer tutorial recommendation
REC00007,STU02482,Dara J.,Year 1,Computer Science,PHY108,General Practical Physics II,98,0.221,0.0904,0.7,8,1,0,High,2,Advisor review and peer tutorial recommendation
REC00008,STU01094,Ayo U.,Year 1,Computer Science,COS102,Introduction to Problem Solving,98,0.91,0.8169,3.2,43,0.1629,0.8371,Low,0,No immediate action
REC00009,STU00939,Mira U.,Year 1,Computer Science,CSC114,Linear Algebra for Computer Scientists,98,0.592,0.88,4.2,38,0.2312,0.7688,Low,0,No immediate action
REC00010,STU01302,Jide O.,Year 1,Computer Science,MTH102,Elementary Mathematics II,98,0.1617,0.367,0.8,14,1,0,High,2,Advisor review and peer tutorial recommendation
REC00011,STU02366,Nora U.,Year 1,Computer Science,PHY102,General Physics II,98,0.4935,0.3727,2.4,6,0.7964,0.2036,High,2,Advisor review and peer tutorial recommendation
REC00012,STU02764,Femi D.,Year 1,Computer Science,COS102,Introduction to Problem Solving,98,0.8504,0.8096,2.2,29,0.2402,0.7598,Low,0,No immediate action
REC00013,STU02393,Nora C.,Year 1,Computer Science,GST112,Nigerian Peoples and Culture,98,0.8623,0.9009,4.5,33,0.1048,0.8952,Low,0,No immediate action
REC00014,STU00007,Tolu P.,Year 1,Computer Science,CSC114,Linear Algebra for Computer Scientists,98,0.4459,0.3337,3.7,34,0.6935,0.3065,High,2,Advisor review and peer tutorial recommendation
REC00015,STU00934,Nora V.,Year 1,Computer Science,CSC112,UI/UX Design Essentials,98,0.9472,0.8998,4.1,40,0.0872,0.9128,Low,0,No immediate action
REC00016,STU02644,Nifemi I.,Year 1,Computer Science,CSC114,Linear Algebra for Computer Scientists,98,0.9114,0.8794,3.9,33,0.1156,0.8844,Low,0,No immediate action
REC00017,STU02153,Efe B.,Year 1,Computer Science,PHY102,General Physics II,98,0.3878,0.0588,2.5,16,0.8983,0.1017,High,2,Advisor review and peer tutorial recommendation
REC00018,STU02117,Lekan L.,Year 1,Computer Science,CSC112,UI/UX Design Essentials,98,0.5008,0.4211,3.3,50,0.6613,0.3387,High,2,Advisor review and peer tutorial recommendation
REC00019,STU02322,Lara O.,Year 1,Computer Science,PHY108,General Practical Physics II,98,0.5821,0.6455,2.0,14,0.4507,0.5493,Medium,1,Monitor and recommend targeted support
REC00020,STU02299,Jide X.,Year 1,Computer Science,PHY108,General Practical Physics II,98,0.087,0.0816,1.8,22,1,0,High,2,Advisor review and peer tutorial recommendation
REC00021,STU02510,Tobi T.,Year 1,Computer Science,PHY102,General Physics II,98,0.5384,0.7796,3.2,40,0.4428,0.5572,Medium,1,Monitor and recommend targeted support
REC00022,STU01481,Lara U.,Year 1,Computer Science,GST112,Nigerian Peoples and Culture,98,0.9719,0.9151,4.0,30,0.0849,0.9151,Low,0,No immediate action
REC00023,STU01935,Bayo F.,Year 1,Computer Science,GST111,Communication in English,98,0.6167,0.5462,1.4,26,0.4539,0.5461,Medium,1,Monitor and recommend targeted support
REC00024,STU02788,Nedu O.,Year 1,Computer Science,CSC114,Linear Algebra for Computer Scientists,98,0.7548,0.671,2.2,36,0.3088,0.6912,Low,0,No immediate action
REC00025,STU01699,Dara T.,Year 1,Computer Science,MTH102,Elementary Mathematics II,98,0.4137,0.6202,3.1,45,0.5445,0.4555,Medium,1,Monitor and recommend targeted support
REC00026,STU02076,Tara A.,Year 1,Computer Science,MTH102,Elementary Mathematics II,98,0.6211,0.2212,1.6,22,0.6539,0.3461,High,2,Advisor review and peer tutorial recommendation
REC00027,STU00858,Lekan W.,Year 1,Computer Science,PHY102,General Physics II,98,0.8765,0.7585,4.1,43,0.1579,0.8421,Low,0,No immediate action
REC00028,STU00255,Tobi H.,Year 1,Computer Science,MTH102,Elementary Mathematics II,98,0.898,0.781,4.0,51,0.1465,0.8535,Low,0,No immediate action
REC00029,STU00903,Uche I.,Year 1,Computer Science,CSC114,Linear Algebra for Computer Scientists,98,0.8402,0.7087,4.3,43,0.1793,0.8207,Low,0,No immediate action
REC00030,STU00889,Nora K.,Year 1,Computer Science,CSC112,UI/UX Design Essentials,98,0.7204,0.7297,4.4,36,0.2169,0.7831,Low,0,No immediate action
REC00031,STU02520,Mira C.,Year 1,Computer Science,CSC114,Linear Algebra for Computer Scientists,98,0.72,0.488,4.7,36,0.2776,0.7224,Low,0,No immediate action
REC00032,STU00762,Kene R.,Year 1,Computer Science,CSC112,UI/UX Design Essentials,98,0.8538,0.8698,3.2,36,0.1695,0.8305,Low,0,No immediate action
REC00033,STU01368,Mira U.,Year 1,Computer Science,GST111,Communication in English,98,0.2555,0.3138,2.8,33,0.8117,0.1883,High,2,Advisor review and peer tutorial recommendation
