student_id,student_name,level,department,course_code,course_name,week,classes_held,classes_attended,attendance_percent,assignment_submitted,assignment_score,quiz_score,lms_logins,helpdesk_requests,last_login_days_ago,risk_points,risk_level,risk_label,mentor_review_needed,peer_tutorial_recommended,risk_reason
STU0001,Uche D.,Year 1,Computer Science,MTH102,Elementary Mathematics II,2,5,5,100.0,0,0,89,2,4,6,4,Medium,1,1,0,missing assignment; low LMS activity; frequent helpdesk requests
STU0001,Uche D.,Year 1,Computer Science,PHY102,General Physics II,1,4,0,0.0,0,0,84,0,4,3,6,High,1,1,1,attendance below 60%; missing assignment; low LMS activity; frequent helpdesk requests
STU0002,Muna U.,Year 1,Computer Science,GST111,Communication in English,4,8,4,50.0,1,35,40,13,2,4,4,Medium,1,1,1,attendance below 60%; quiz score below 45
STU0002,Muna U.,Year 1,Computer Science,GST112,Nigerian Peoples and Culture,2,5,2,40.0,0,0,68,3,2,13,5,High,1,1,1,attendance below 60%; missing assignment; no recent LMS login
STU0002,Muna U.,Year 1,Computer Science,COS102,Introduction to Problem Solving,3,8,4,50.0,1,81,78,17,0,14,3,Medium,1,1,1,attendance below 60%; no recent LMS login
STU0003,Femi C.,Year 1,Computer Science,MTH102,Elementary Mathematics II,2,4,0,0.0,1,84,57,2,6,3,5,High,1,1,1,attendance below 60%; quiz score below 60; low LMS activity; frequent helpdesk requests
STU0003,Femi C.,Year 1,Computer Science,GST111,Communication in English,1,7,4,57.1,1,88,66,5,2,5,2,Low,0,0,0,attendance below 60%
STU0003,Femi C.,Year 1,Computer Science,GST112,Nigerian Peoples and Culture,2,6,5,83.3,1,76,29,5,4,11,4,Medium,1,1,1,quiz score below 45; no recent LMS login; frequent helpdesk requests
STU0004,Lara F.,Year 1,Computer Science,GST112,Nigerian Peoples and Culture,6,8,3,37.5,1,88,27,7,6,0,5,High,1,1,1,attendance below 60%; quiz score below 45; frequent helpdesk requests
STU0004,Lara F.,Year 1,Computer Science,MTH102,Elementary Mathematics II,3,7,4,57.1,0,0,92,10,1,10,5,High,1,1,1,attendance below 60%; missing assignment; no recent LMS login
STU0005,Tolu M.,Year 1,Computer Science,GST112,Nigerian Peoples and Culture,2,5,5,100.0,1,51,94,13,4,6,1,Low,0,0,0,frequent helpdesk requests
STU0005,Tolu M.,Year 1,Computer Science,PHY102,General Physics II,3,5,1,20.0,1,40,26,3,1,10,5,High,1,1,1,attendance below 60%; quiz score below 45; no recent LMS login
STU0005,Tolu M.,Year 1,Computer Science,GST111,Communication in English,2,7,1,14.3,1,73,79,16,2,8,3,Medium,1,1,1,attendance below 60%; no recent LMS login
STU0006,Ada V.,Year 1,Computer Science,COS102,Introduction to Problem Solving,3,4,2,50.0,1,64,20,8,4,12,6,High,1,1,1,attendance below 60%; quiz score below 45; no recent LMS login; frequent helpdesk requests
STU0006,Ada V.,Year 1,Computer Science,MTH102,Elementary Mathematics II,2,8,1,12.5,1,54,84,6,1,5,2,Low,0,0,0,attendance below 60%
STU0006,Ada V.,Year 1,Computer Science,GST112,Nigerian Peoples and Culture,2,8,8,100.0,1,73,61,15,0,1,0,None,0,0,0,no current concern
STU0007,Tara Z.,Year 1,Computer Science,PHY102,General Physics II,2,8,1,12.5,0,0,82,2,6,8,7,High,1,1,1,attendance below 60%; missing assignment; low LMS activity; no recent LMS login; frequent helpdesk requests
STU0007,Tara Z.,Year 1,Computer Science,COS102,Introduction to Problem Solving,2,5,5,100.0,1,70,41,8,4,13,4,Medium,1,1,1,quiz score below 45; no recent LMS login; frequent helpdesk requests
STU0008,Rita N.,Year 1,Computer Science,GST111,Communication in English,6,6,3,50.0,1,76,67,14,4,7,3,Medium,1,1,1,attendance below 60%; frequent helpdesk requests
STU0008,Rita N.,Year 1,Computer Science,PHY102,General Physics II,1,5,1,20.0,0,0,22,18,4,3,7,High,1,1,1,attendance below 60%; missing assignment; quiz score below 45; frequent helpdesk requests
STU0009,Jide H.,Year 1,Computer Science,COS102,Introduction to Problem Solving,2,4,0,0.0,1,39,85,7,2,10,3,Medium,1,1,1,attendance below 60%; no recent LMS login
STU0009,Jide H.,Year 1,Computer Science,GST111,Communication in English,4,5,4,80.0,0,0,93,18,3,3,2,Low,0,0,0,missing assignment
STU0010,Tolu Z.,Year 1,Computer Science,PHY102,General Physics II,1,7,5,71.4,1,64,26,3,0,6,3,Medium,1,1,1,attendance below 75%; quiz score below 45
STU0010,Tolu Z.,Year 1,Computer Science,COS102,Introduction to Problem Solving,6,6,6,100.0,1,50,44,6,4,7,3,Medium,1,1,1,quiz score below 45; frequent helpdesk requests
